BORE_ID,HEADER_ID,STATE_NAME,COUNTY_NAME,WELL_PROFILE_CODE,FIRST_ELEVATION,FIRST_ELEVATION_TYPE_CODE,FIRST_ELEVATION_SOURCE,SECOND_ELEVATION,SECOND_ELEVATION_TYPE_CODE,SECOND_ELEVATION_SOURCE,GROUND_ELEVATION,GROUND_ELEVATION_SOURCE,GROUND_ELEVATION_TYPE,KB HEIGHT,WELL_DATE,LATITUDE,LONGITUDE,KB_HEIGHT_ACTUAL,KB_HEIGHT_PREDICTED
3844188,3784968,CO,LOGAN,V,4356.0,KB,UNKNOWN,,,,4346.0,ST_COOGC,GR,10,1979-10-03,40.86766808,-103.21698559,10,10.667797165807826
7274325,7165259,TX,GLASSCOCK,V,2632.0,KB,STATE,2631.0,DF,STATE,2617.0,ST_TXRRC,GR,15,2012-07-15,32.01263464158,-101.640709922841,15,15.056921721402468
7026513,6917909,TX,GONZALES,H,310.0,KB,STATE,,,,281.0,STATE,GR,29,2011-12-05,29.5256528876995,-97.2877061659948,29,26.755669737791653
7384011,7268433,MT,RICHLAND,H,2488.0,KB,STATE,,,,2458.0,STATE,GR,30,2013-03-03,47.7456690201198,-104.551643386371,30,26.30700845558573
3686928,3629001,CO,GARFIELD,D,5343.0,KB,ST_COOGC,5342.0,DF,ST_COOGC,5318.0,ST_COOGC,GR,25,2008-12-28,39.3974268822815,-108.130159631509,25,22.096770036847182
8403279,8218477,TX,CULBERSON,H,3488.0,KB,DWS,3488.0,DF,C_LOG,3466.0,C_LOG,GR,22,2022-10-02,31.8646760980905,-104.166000511497,22,23.619560165256132
7609163,7487488,TX,ANDREWS,V,3190.0,KB,ST_TXRRC,3189.0,DF,ST_TXRRC,3175.0,ST_TXRRC,GR,15,2014-11-23,32.368130030386,-102.653147984746,15,15.18550305216391
4199349,4136610,OK,CREEK,V,854.0,DF,ST_OKOCC,,,,847.0,ST_OKOCC,GR,7,1959-10-30,35.739286889547,-96.3411701563371,7,8.062426768301577
7298258,7188559,CO,WELD,H,5176.0,KB,ST_COOGC,,,,5163.0,ST_COOGC,GR,13,2011-08-18,40.0415601629038,-105.019400733083,13,17.901697017625956
7372431,7257496,ND,MCKENZIE,H,2245.0,KB,STATE,,,,2219.0,ST_NDOGD,GR,26,2012-08-26,47.905197227008,-103.551526160348,26,24.077235168234616
7101132,6992166,OH,GUERNSEY,V,830.0,KB,STATE,828.0,DF,STATE,820.0,STATE,GR,10,1990-02-19,39.9099486432364,-81.571390315889,10,10.348768308905038
3791340,3732296,CO,LA PLATA,V,6652.0,KB,ST_COOGC,,,,6639.0,ST_COOGC,GR,13,2003-10-08,37.1334374158014,-107.84217944252,13,13.741855718293294
7593297,7472191,OH,HARRISON,H,1218.0,KB,STATE,,,,1195.0,STATE,GR,23,2014-03-05,40.3505969673522,-81.0797490689203,23,22.50345962902653
4003863,3943617,CO,WASHINGTON,V,4516.0,KB,UNKNOWN,,,,4504.0,ST_COOGC,GR,12,1983-11-26,40.06219,-103.46528,12,11.97780135736497
7197274,7088250,OH,NOBLE,V,1090.0,KB,ST_OHDNR,,,,1080.0,ST_OHDNR,GR,10,2001-01-08,39.6719376332972,-81.4074377007555,10,10.784254065801022
7751730,7617925,ND,DUNN,V,3292.0,KB,ST_NDOGD,,,,3280.0,ST_NDOGD,GR,12,1979-11-06,47.4428944432204,-102.941905641831,12,11.158724949532754
4909314,4833214,TX,ECTOR,V,3283.0,KB,ST_TXRRC,3281.0,DF,ST_TXRRC,3268.0,ST_TXRRC,GR,15,1946-09-02,31.8899124467322,-102.718583002508,15,12.72616454196412
7058871,6949989,OH,ASHTABULA,V,896.0,DF,ST_OHDNR,,,,890.0,ST_OHDNR,GR,6,2006-05-23,41.5753963565792,-80.8574095689625,6,8.453196736708996
7598701,7477394,TX,MARTIN,H,2904.0,KB,ST_TXRRC,2903.0,DF,ST_TXRRC,2879.0,ST_TXRRC,GR,25,2014-07-14,32.4379538420104,-102.150442013842,25,24.798380621126164
4846995,4773299,OK,OKLAHOMA,V,1146.0,DF,STATE,,,,1131.0,STATE,GR,15,2000-06-10,35.5856437032213,-97.3289471777911,15,13.923740370523172
7149800,7040790,OH,MEDINA,V,900.0,KB,ST_OHDNR,,,,890.0,ST_OHDNR,GR,10,1981-03-29,41.1064234667548,-82.121088564042,10,9.949938281795003
7022288,6913748,TX,GAINES,V,3143.7,DF,ST_TXRRC,3145.0,KB,ST_TXRRC,3133.2,ST_TXRRC,GR,11,2011-12-09,32.8681291109014,-102.267455698498,11,12.400794822733438
8303807,8122427,TX,MIDLAND,H,2799.0,KB,ST_TXRRC,2799.01,DF,ST_TXRRC,2774.0,ST_TXRRC,GR,25,2020-02-10,31.6669729056655,-101.963328682964,25,25.048776043951882
7671023,7544784,TX,GLASSCOCK,V,2630.0,KB,ST_TXRRC,2629.0,DF,ST_TXRRC,2615.0,ST_TXRRC,GR,15,2015-07-25,32.0225334143246,-101.643960071454,15,15.166874767047027
8375835,8193388,TX,SCURRY,D,2470.0,KB,ST_TXRRC,,,,2459.39,FD_USGS,EG,11,2021-07-22,32.7300738404065,-101.035552172088,11,16.701518811729024
7095053,6986088,OH,GUERNSEY,V,978.0,KB,STATE,,,,970.0,STATE,GR,8,1971-08-17,39.9257925447511,-81.5804850537503,8,8.602493161706843
4210285,4147517,TX,BROOKS,V,267.0,KB,P2ES,,,,247.0,STATE,GR,20,1994-03-01,26.8971910684116,-98.2672180172717,20,17.192306152197084
4716518,4647803,CA,LOS ANGELES,D,19.0,DF,STATE,,,,10.0,STATE,GR,9,1954-06-10,33.7693602510142,-118.205655198782,9,11.473610828323455
5025648,4943639,TX,GAINES,V,3104.0,KB,UNKNOWN,,,,3092.0,UNKNOWN,GR,12,1988-08-02,32.8572291522953,-102.244214369575,12,12.549186751756329
3788500,3729543,TX,ANDREWS,V,3148.0,KB,UNKNOWN,,,,3141.0,UNKNOWN,GR,7,2006-03-26,32.4493618537283,-102.506472697606,7,10.541953954854012
7378888,7263737,OK,DEWEY,H,1889.0,DF,STATE,,,,1864.0,STATE,GR,25,2011-04-10,35.9139049654244,-98.6799065034028,25,24.055009347712833
6211421,6110724,TX,MITCHELL,V,2394.0,KB,UNKNOWN,,,,2384.0,ST_TXRRC,GR,10,2013-06-04,32.2983955360561,-101.165467379411,10,12.342309096796804
3618485,3561444,CO,BACA,V,4243.0,KB,UNKNOWN,,,,4235.0,ST_COOGC,GR,8,1983-12-07,37.03753,-102.57183,8,10.008408790817175
4080042,4018895,TX,BEE,V,381.0,KB,UNKNOWN,,,,371.0,UNKNOWN,GR,10,1998-05-08,28.57081,-97.86598,10,11.829552811596425
5025158,4943155,TX,GAINES,V,3453.0,KB,UNKNOWN,,,,3440.0,UNKNOWN,GR,13,1985-08-20,32.8781202382243,-102.746740393998,13,13.018616238831147
4435758,4369991,OK,GRADY,D,1310.0,DF,ST_OKOCC,,,,1296.0,ST_OKOCC,GR,14,2003-03-10,35.2136611075858,-97.707583388833,14,15.50319934698846
7419537,7302328,TX,GONZALES,H,324.0,KB,STATE,323.6,DF,STATE,294.0,ST_TXRRC,GR,30,2013-09-21,29.5937711153014,-97.2428161043465,30,27.35544400839118
7282821,7173518,TX,DAWSON,V,3017.0,KB,ST_TXRRC,3016.0,DF,ST_TXRRC,3003.0,ST_TXRRC,GR,14,2013-10-10,32.5984092062246,-102.122428477768,14,14.561817081776448
4055576,3994562,CO,WELD,V,4998.0,KB,UNKNOWN,,,,4990.0,ST_COOGC,GR,8,1976-07-20,40.1151844411121,-104.878654586519,8,9.619237085641547
